track_id,psnr_pred_db,psnr_noisy_db
00010,15.366510391235352,15.520563125610352
00011,15.130989074707031,16.033782958984375
00012,18.499753952026367,19.174427032470703
00016,11.579387664794922,16.102981567382812
00023,16.10041046142578,17.039749145507812
00028,15.597657203674316,15.86719036102295
00032,18.156673431396484,17.9182186126709
00033,13.803486824035645,14.135724067687988
00037,15.688471794128418,15.913071632385254
00043,15.156766891479492,16.028297424316406
00057,14.449945449829102,15.753116607666016
00065,13.934517860412598,14.329635620117188
00066,13.826603889465332,15.426944732666016
00069,13.244964599609375,16.010087966918945
00070,14.506211280822754,14.320083618164062
00074,13.534612655639648,15.161880493164062
00076,13.048087120056152,13.420186042785645
00077,13.75763988494873,15.275069236755371
00079,11.938283920288086,15.956703186035156
00082,14.039619445800781,14.60155963897705
00083,14.245767593383789,13.775327682495117
00086,15.99499225616455,15.899205207824707
00105,11.347084045410156,13.239126205444336
00109,11.270864486694336,13.245599746704102
00132,14.814598083496094,14.55949592590332
00133,11.052340507507324,14.375115394592285
00134,13.917858123779297,14.804302215576172
00138,16.561893463134766,17.5188045501709
00144,11.6845121383667,14.736083984375
00146,15.3055419921875,16.029455184936523
