track_id,psnr_pred_db,psnr_noisy_db
00010,16.153898239135742,14.027104377746582
00011,16.29636573791504,14.599723815917969
00012,19.914390563964844,17.352773666381836
00016,17.227155685424805,14.51474666595459
00023,18.06397819519043,15.51812744140625
00028,15.494087219238281,14.761011123657227
00032,18.433975219726562,16.249755859375
00033,14.88593578338623,13.008035659790039
00037,16.91888427734375,14.120856285095215
00043,15.545120239257812,14.557605743408203
00057,15.726966857910156,14.173025131225586
00065,14.821996688842773,12.946557998657227
00066,15.59109878540039,14.025565147399902
00069,16.52290153503418,13.849506378173828
00070,15.848994255065918,12.91802978515625
00074,15.809566497802734,13.689407348632812
00076,13.323630332946777,11.84410572052002
00077,15.953749656677246,13.776784896850586
00079,16.0109920501709,14.73476505279541
00082,15.259881019592285,13.344575881958008
00083,13.709253311157227,12.505180358886719
00086,16.8057861328125,13.602071762084961
00105,14.168367385864258,11.924619674682617
00109,14.127951622009277,11.960807800292969
00132,15.350970268249512,12.81599235534668
00133,13.438323974609375,13.113077163696289
00134,15.636760711669922,13.222323417663574
00138,17.52724838256836,15.499402046203613
00144,15.463513374328613,13.220413208007812
00146,16.59194564819336,14.135242462158203
