track_id,psnr_pred_db,psnr_noisy_db
00010,15.707449913024902,15.736429214477539
00011,16.212862014770508,16.16395378112793
00012,19.43559455871582,19.24553680419922
00016,16.29433822631836,16.10406494140625
00023,16.909948348999023,17.150753021240234
00028,16.171321868896484,15.992626190185547
00032,18.82047462463379,18.234519958496094
00033,13.836417198181152,14.249074935913086
00037,15.952849388122559,16.13507843017578
00043,16.555524826049805,16.060522079467773
00057,16.009117126464844,15.962725639343262
00065,14.48387622833252,14.45864200592041
00066,14.873483657836914,15.536650657653809
00069,16.226905822753906,16.187517166137695
00070,15.433625221252441,14.484434127807617
00074,15.496729850769043,15.388225555419922
00076,13.480510711669922,13.430088996887207
00077,15.516962051391602,15.391021728515625
00079,15.9774169921875,16.08685302734375
00082,14.245077133178711,14.387093544006348
00083,14.103347778320312,13.8389310836792
00086,15.693922996520996,15.897994041442871
00105,13.276476860046387,13.419063568115234
00109,13.320216178894043,13.277183532714844
00132,14.762435913085938,14.730138778686523
00133,14.039921760559082,14.581337928771973
00134,15.457748413085938,15.034584045410156
00138,17.248332977294922,17.50885581970215
00144,15.332313537597656,14.800580978393555
00146,15.72203254699707,16.200674057006836
