track_id,psnr_pred_db,psnr_noisy_db
00010,15.982124328613281,15.130533218383789
00011,15.881142616271973,15.657577514648438
00012,19.192426681518555,18.551494598388672
00016,16.283584594726562,15.623176574707031
00023,17.283275604248047,16.621768951416016
00028,15.776786804199219,15.588459968566895
00032,18.653945922851562,17.478208541870117
00033,14.42243766784668,13.861227035522461
00037,16.615280151367188,15.341291427612305
00043,15.91187858581543,15.574748992919922
00057,16.36884880065918,15.324763298034668
00065,14.89279556274414,13.994258880615234
00066,15.849002838134766,14.991426467895508
00069,16.213394165039062,15.332093238830566
00070,15.509937286376953,13.949932098388672
00074,15.416680335998535,14.853471755981445
00076,13.567045211791992,12.94256591796875
00077,15.520675659179688,14.801250457763672
00079,15.78862190246582,15.64102554321289
00082,14.726522445678711,14.334501266479492
00083,13.820514678955078,13.490779876708984
00086,16.41075897216797,15.171182632446289
00105,14.14537525177002,12.917436599731445
00109,13.83321762084961,12.914070129394531
00132,15.536134719848633,14.07966423034668
00133,14.611858367919922,14.09183406829834
00134,15.535886764526367,14.381818771362305
00138,17.10470962524414,16.999643325805664
00144,14.75563907623291,14.280010223388672
00146,16.802597045898438,15.428265571594238
